Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz
 2024-12-17 4:56:41.921	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63470	63012	5141
 2024-12-17 4:56:41.931	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63474	63014	5145
 2024-12-17 4:56:41.941	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63478	63014	5154
 2024-12-17 4:56:41.951	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63480	63014	5161
 2024-12-17 4:56:41.961	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63479	63015	5166
 2024-12-17 4:56:41.971	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63480	63017	5164
 2024-12-17 4:56:41.981	0.0161	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63485	63017	5160
 2024-12-17 4:56:41.996	0.0161	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63491	63015	5150
 2024-12-17 4:56:42.6	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63488	63019	5136
 2024-12-17 4:56:42.16	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63483	63020	5132
 2024-12-17 4:56:42.26	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63479	63018	5128
 2024-12-17 4:56:42.36	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63480	63023	5131
 2024-12-17 4:56:42.46	0.0171	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63481	63029	5143
 2024-12-17 4:56:42.56	0.0171	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63475	63030	5154
 2024-12-17 4:56:42.66	0.0171	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63472	63029	5155
 2024-12-17 4:56:42.81	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63475	63029	5153
 2024-12-17 4:56:42.91	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63482	63031	5152
 2024-12-17 4:56:42.101	0.0161	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63489	63031	5146
 2024-12-17 4:56:42.111	0.0161	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63496	63029	5137
 2024-12-17 4:56:42.121	0.0156	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63497	63026	5133
 2024-12-17 4:56:42.131	0.0156	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63495	63027	5139
 2024-12-17 4:56:42.141	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.04	63490	63025	5140
 2024-12-17 4:56:42.151	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.04	63486	63019	5133
 2024-12-17 4:56:42.166	0.0171	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63492	62992	5131
 2024-12-17 4:56:42.176	0.0171	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63487	63008	5123
 2024-12-17 4:56:42.186	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63485	63004	5125
 2024-12-17 4:56:42.196	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63484	63002	5130
 2024-12-17 4:56:42.206	0.0166	0.0132	-1.0054	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63482	63004	5137
 2024-12-17 4:56:42.216	0.0166	0.0132	-1.0054	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63480	63006	5141
 2024-12-17 4:56:42.226	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63478	63006	5144
 2024-12-17 4:56:42.241	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63475	63012	5140
 2024-12-17 4:56:42.251	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63473	63022	5128
 2024-12-17 4:56:42.261	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63476	63020	5126
 2024-12-17 4:56:42.271	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63472	63016	5128
 2024-12-17 4:56:42.281	0.0166	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63466	63014	5128
 2024-12-17 4:56:42.291	0.0166	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63462	63015	5135
 2024-12-17 4:56:42.301	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63459	63014	5144
 2024-12-17 4:56:42.311	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63460	63013	5146
 2024-12-17 4:56:42.326	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63465	63014	5145
 2024-12-17 4:56:42.336	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63467	63018	5145
 2024-12-17 4:56:42.346	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63472	63018	5146
 2024-12-17 4:56:42.356	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63477	63015	5148
 2024-12-17 4:56:42.366	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63480	63013	5157
 2024-12-17 4:56:42.376	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63481	63014	5169
 2024-12-17 4:56:42.386	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63482	63016	5171
 2024-12-17 4:56:42.396	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63484	63016	5170
 2024-12-17 4:56:42.566	0.0161	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63486	63048	5103
 2024-12-17 4:56:42.576	0.0161	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.12	63488	63021	5127
 2024-12-17 4:56:42.586	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.12	63483	63020	5124
 2024-12-17 4:56:42.596	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63481	63014	5124
 2024-12-17 4:56:42.606	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63482	63008	5125
 2024-12-17 4:56:42.621	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63481	63018	5076
 2024-12-17 4:56:42.631	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63483	63012	5110
 2024-12-17 4:56:42.641	0.0171	0.0146	-1.0054	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63483	63016	5106
 2024-12-17 4:56:42.651	0.0171	0.0146	-1.0054	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63484	63018	5103
 2024-12-17 4:56:42.661	0.0171	0.0146	-1.0054	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63483	63015	5106
 2024-12-17 4:56:42.671	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63479	63010	5119
 2024-12-17 4:56:42.681	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63478	63008	5133
 2024-12-17 4:56:42.696	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63481	63007	5140
 2024-12-17 4:56:42.706	0.0171	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63482	63006	5144
 2024-12-17 4:56:42.716	0.0171	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63480	63005	5154
 2024-12-17 4:56:42.726	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63479	63005	5160
 2024-12-17 4:56:42.736	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63476	63009	5158
 2024-12-17 4:56:42.746	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63477	63013	5153
 2024-12-17 4:56:42.756	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63478	63016	5154
 2024-12-17 4:56:42.766	0.0166	0.0137	-1.0054	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63478	63017	5153
 2024-12-17 4:56:42.776	0.0166	0.0137	-1.0054	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63476	63015	5153
 2024-12-17 4:56:42.791	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.12	63477	63011	5153
 2024-12-17 4:56:42.801	0.0161	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.12	63478	63015	5151
 2024-12-17 4:56:42.811	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.12	63480	63015	5155
 2024-12-17 4:56:42.976	0.0161	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.12	63479	63015	5159
 2024-12-17 4:56:42.991	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.12	63479	63014	5167
 2024-12-17 4:56:43.1	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63484	63013	5165
 2024-12-17 4:56:43.11	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.1	63482	63011	5154
 2024-12-17 4:56:43.21	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63481	63012	5152
 2024-12-17 4:56:43.31	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.05	63480	63013	5154
 2024-12-17 4:56:43.41	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63480	63015	5156
 2024-12-17 4:56:43.51	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.07	63481	63017	5156
 2024-12-17 4:56:43.61	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.956	-38.232	28.09	63483	63017	5152
 2024-12-17 4:56:43.71	0.0161	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.09	63485	63015	5147
 2024-12-17 4:56:43.86	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63486	63014	5143
 2024-12-17 4:56:43.96	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63467	63054	5144
 2024-12-17 4:56:43.106	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.09	63483	63027	5146
 2024-12-17 4:56:43.116	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.09	63488	63026	5145
 2024-12-17 4:56:43.126	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63493	63025	5138
 2024-12-17 4:56:43.136	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63495	63025	5136
 2024-12-17 4:56:43.146	0.0166	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.12	63495	63026	5136
 2024-12-17 4:56:43.156	0.0166	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.12	63494	63028	5139
 2024-12-17 4:56:43.166	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.1	63492	63027	5144
 2024-12-17 4:56:43.181	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.1	63492	63025	5144
 2024-12-17 4:56:43.191	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.1	63499	63009	5180
 2024-12-17 4:56:43.201	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.05	63492	63019	5157
 2024-12-17 4:56:43.211	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.05	63487	63022	5160
 2024-12-17 4:56:43.221	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.09	63478	63027	5158
 2024-12-17 4:56:43.231	0.0166	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.09	63472	63026	5156
 2024-12-17 4:56:43.241	0.0166	0.0132	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63469	63021	5155
 2024-12-17 4:56:43.251	0.0166	0.0132	-1.0044	0.0	0.0	0.0	179.203	-0.95	-38.232	28.07	63472	63014	5154
 2024-12-17 4:56:43.261	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63476	63011	5151
 2024-12-17 4:56:43.271	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63477	63012	5157
 2024-12-17 4:56:43.286	0.0156	0.0142	-1.0044	0.0	0.0	0.0	179.203	-0.95	-38.232	28.05	63478	63013	5171
 2024-12-17 4:56:43.296	0.0156	0.0142	-1.0044	0.0	0.0	0.0	179.203	-0.95	-38.232	28.05	63478	63014	5179
 2024-12-17 4:56:43.306	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.07	63474	63013	5173
 2024-12-17 4:56:43.316	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.07	63469	63013	5171
 2024-12-17 4:56:43.326	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.203	-0.95	-38.232	28.1	63466	63017	5168
 2024-12-17 4:56:43.336	0.0166	0.0137	-1.0044	0.0	0.0	0.0	179.203	-0.95	-38.232	28.1	63464	63013	5167
 2024-12-17 4:56:43.346	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.1	63463	63010	5168
 2024-12-17 4:56:43.356	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.1	63465	63012	5173
 2024-12-17 4:56:43.366	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63467	63009	5174
 2024-12-17 4:56:43.376	0.0166	0.0132	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63470	63007	5174
 2024-12-17 4:56:43.391	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63467	63010	5176
 2024-12-17 4:56:43.401	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63465	63010	5173
 2024-12-17 4:56:43.411	0.0161	0.0132	-1.0044	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63464	63011	5172
 2024-12-17 4:56:43.421	0.0161	0.0132	-1.0044	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63461	63012	5175
 2024-12-17 4:56:43.431	0.0161	0.0146	-1.0039	0.0	0.0	0.0	179.203	-0.95	-38.232	28.09	63464	63009	5172
 2024-12-17 4:56:43.441	0.0161	0.0146	-1.0039	0.0	0.0	0.0	179.203	-0.95	-38.232	28.07	63469	63013	5170
 2024-12-17 4:56:43.451	0.0166	0.0137	-1.0049	0.0	0.0	0.0	179.203	-0.95	-38.232	28.07	63473	63019	5164
 2024-12-17 4:56:43.621	0.0171	0.0137	-1.0054	0.0	0.0	0.0	179.198	-0.95	-38.232	28.09	63483	63014	5141
 2024-12-17 4:56:43.631	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.09	63481	63020	5135
 2024-12-17 4:56:43.641	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63480	63024	5127
 2024-12-17 4:56:43.651	0.0161	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63479	63021	5119
 2024-12-17 4:56:43.661	0.0161	0.0142	-1.0044	0.0	0.0	0.0	179.198	-0.95	-38.232	28.07	63477	63019	5117
