Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz
 2024-12-17 5:5:41.201	0.0	0.0005	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.15	7196	54799	53102
 2024-12-17 5:5:41.221	-0.0005	0.001	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.13	7195	54803	53106
 2024-12-17 5:5:41.241	-0.001	0.0015	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.13	7202	54805	53099
 2024-12-17 5:5:41.261	-0.001	0.0015	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7202	54801	53086
 2024-12-17 5:5:41.281	-0.0005	0.001	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.2	7206	54808	53084
 2024-12-17 5:5:41.471	0.0015	-0.001	1.0	0.0	0.0	0.0	0.049	0.038	-171.667	28.15	7219	54791	53097
 2024-12-17 5:5:41.491	0.0024	-0.001	0.9985	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7207	54789	53082
 2024-12-17 5:5:41.511	-0.0024	0.0024	0.999	0.0	0.0	0.0	0.049	0.033	-171.667	28.15	7210	54787	53085
 2024-12-17 5:5:41.531	-0.0029	0.0029	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7206	54779	53097
 2024-12-17 5:5:41.556	0.0	0.0005	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.15	7213	54791	53107
 2024-12-17 5:5:41.576	0.0	-0.0005	0.9985	0.0	0.0	0.0	0.049	0.038	-171.667	28.18	7202	54775	53105
 2024-12-17 5:5:41.596	-0.0024	0.001	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.15	7198	54773	53101
 2024-12-17 5:5:41.616	0.001	0.0015	0.999	0.0	0.0	0.0	0.049	0.038	-171.667	28.18	7190	54779	53086
 2024-12-17 5:5:41.641	0.0	0.0005	0.999	0.0	0.0	0.0	0.049	0.038	-171.667	28.15	7190	54792	53097
 2024-12-17 5:5:41.661	-0.002	0.0	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.15	7195	54795	53099
 2024-12-17 5:5:41.681	-0.001	0.0005	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.13	7208	54789	53093
 2024-12-17 5:5:41.701	0.0	0.001	0.999	0.0	0.0	0.0	0.049	0.038	-171.667	28.18	7202	54791	53081
