Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz
 2024-12-17 5:5:31.941	-0.0005	0.001	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.17	7210	54789	53068
 2024-12-17 5:5:31.961	-0.001	0.001	0.999	0.0	0.0	0.0	0.055	0.038	-171.667	28.18	7214	54774	53081
 2024-12-17 5:5:31.981	-0.0005	0.001	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.18	7211	54780	53084
 2024-12-17 5:5:32.1	-0.0005	0.001	1.0	0.0	0.0	0.0	0.055	0.038	-171.667	28.18	7210	54786	53073
 2024-12-17 5:5:32.21	-0.0005	0.001	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.17	7206	54793	53071
 2024-12-17 5:5:32.46	-0.0005	0.0005	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.17	7201	54800	53073
 2024-12-17 5:5:32.66	0.0	0.0005	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.2	7233	54763	53057
 2024-12-17 5:5:32.86	-0.0005	0.001	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.15	7211	54785	53070
 2024-12-17 5:5:32.106	-0.0005	0.0015	1.0	0.0	0.0	0.0	0.055	0.038	-171.667	28.15	7214	54787	53082
 2024-12-17 5:5:32.126	-0.0005	0.001	0.998	0.0	0.0	0.0	0.055	0.038	-171.667	28.18	7209	54784	53097
 2024-12-17 5:5:32.146	-0.0005	0.001	0.999	0.0	0.0	0.0	0.055	0.038	-171.667	28.23	7200	54781	53103
 2024-12-17 5:5:32.171	0.0005	0.001	1.0	0.0	0.0	0.0	0.055	0.038	-171.667	28.2	7206	54783	53100
 2024-12-17 5:5:32.191	-0.0005	0.001	0.999	0.0	0.0	0.0	0.055	0.033	-171.667	28.18	7199	54794	53084
