Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz
 2024-12-17 4:53:40.571	0.0156	0.0249	-1.0049	0.0	0.0	0.0	178.572	-0.939	-41.781	27.88	60904	60314	5188
 2024-12-17 4:53:40.581	0.0156	0.0249	-1.0049	0.0	0.0	0.0	178.572	-0.939	-41.781	27.83	60911	60311	5190
 2024-12-17 4:53:40.591	0.0156	0.0249	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.83	60913	60311	5194
 2024-12-17 4:53:40.601	0.0156	0.0249	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.85	60914	60313	5195
 2024-12-17 4:53:40.611	0.0161	0.0244	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.85	60913	60318	5206
 2024-12-17 4:53:40.621	0.0161	0.0244	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.85	60916	60323	5214
 2024-12-17 4:53:40.631	0.0161	0.0254	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.85	60917	60324	5210
 2024-12-17 4:53:40.646	0.0161	0.0254	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.85	60913	60325	5204
 2024-12-17 4:53:40.656	0.0161	0.0254	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.85	60908	60323	5197
 2024-12-17 4:53:40.666	0.0171	0.0249	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.87	60931	60343	5205
 2024-12-17 4:53:40.676	0.0171	0.0249	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.87	60916	60332	5200
 2024-12-17 4:53:40.686	0.0166	0.0249	-1.0044	0.0	0.0	0.0	178.572	-0.939	-41.781	27.8	60915	60335	5199
 2024-12-17 4:53:40.696	0.0166	0.0249	-1.0044	0.0	0.0	0.0	178.566	-0.939	-41.781	27.8	60918	60333	5197
 2024-12-17 4:53:40.706	0.0161	0.0249	-1.0049	0.0	0.0	0.0	178.566	-0.939	-41.781	27.87	60926	60331	5201
 2024-12-17 4:53:40.716	0.0161	0.0249	-1.0049	0.0	0.0	0.0	178.566	-0.939	-41.781	27.87	60927	60330	5197
