Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz
 2024-12-17 5:2:24.291	-0.0005	0.0	0.9985	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3837	53106	54995
 2024-12-17 5:2:24.311	0.0	-0.0015	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3842	53101	55004
 2024-12-17 5:2:24.331	0.0	-0.001	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.21	3843	53098	55004
 2024-12-17 5:2:24.351	-0.001	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3848	53104	55005
 2024-12-17 5:2:24.376	0.0	-0.0005	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3853	53107	55012
 2024-12-17 5:2:24.396	0.0005	-0.001	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3849	53106	55001
 2024-12-17 5:2:24.416	0.0	0.0	1.0	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3844	53107	55009
 2024-12-17 5:2:24.436	0.0	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.28	3849	53104	55028
 2024-12-17 5:2:24.456	0.0	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3853	53094	55038
 2024-12-17 5:2:24.646	-0.0005	0.0005	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3834	53095	54994
 2024-12-17 5:2:24.666	-0.0005	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3828	53089	54997
 2024-12-17 5:2:24.686	0.0	-0.001	1.0	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3832	53083	54994
 2024-12-17 5:2:24.706	0.0	-0.0005	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3841	53081	55001
 2024-12-17 5:2:24.731	-0.0005	0.0	1.0	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3837	53083	54996
 2024-12-17 5:2:24.751	-0.0005	0.0005	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.21	3833	53083	54996
 2024-12-17 5:2:24.771	0.0	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3844	53082	54997
 2024-12-17 5:2:24.791	0.0	-0.001	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3845	53080	54987
 2024-12-17 5:2:24.811	0.0	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.28	3844	53085	54989
 2024-12-17 5:2:24.836	0.0	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3839	53083	54987
 2024-12-17 5:2:24.856	0.0	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.29	3839	53077	54990
 2024-12-17 5:2:24.876	-0.0005	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3832	53083	55001
 2024-12-17 5:2:24.896	-0.001	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3833	53081	55002
 2024-12-17 5:2:24.916	-0.0005	-0.0005	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3833	53087	54998
 2024-12-17 5:2:24.941	0.0	0.0	1.0	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3831	53099	55002
 2024-12-17 5:2:24.961	0.0	0.0	0.9985	0.0	0.0	0.0	-0.011	0.011	-172.095	28.28	3827	53095	54993
 2024-12-17 5:2:24.981	0.0	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3828	53095	55001
 2024-12-17 5:2:25.1	-0.001	0.0005	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3829	53097	55005
 2024-12-17 5:2:25.21	-0.0005	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3839	53096	55000
 2024-12-17 5:2:25.46	0.0	0.0	1.0	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3849	53096	55008
 2024-12-17 5:2:25.66	0.0	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.23	3851	53077	55026
 2024-12-17 5:2:25.86	0.0	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3847	53096	54996
 2024-12-17 5:2:25.106	0.0	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3841	53097	54988
 2024-12-17 5:2:25.126	0.0	0.0	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.26	3847	53087	54987
 2024-12-17 5:2:25.146	-0.0005	-0.0005	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.28	3844	53090	54986
 2024-12-17 5:2:25.171	0.0	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.28	3850	53098	54988
 2024-12-17 5:2:25.191	0.0	0.0	0.999	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3846	53094	54997
 2024-12-17 5:2:25.211	0.0	0.0005	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.24	3836	53100	55005
 2024-12-17 5:2:25.231	0.0	-0.0005	0.9995	0.0	0.0	0.0	-0.011	0.011	-172.095	28.29	3836	53099	55003
