Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz
 2024-12-17 4:54:58.341	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63503	63031	5180
 2024-12-17 4:54:58.351	0.0161	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63507	63034	5179
 2024-12-17 4:54:58.361	0.0161	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63510	63030	5172
 2024-12-17 4:54:58.371	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63508	63027	5165
 2024-12-17 4:54:58.381	0.0166	0.0137	-1.0054	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63500	63026	5166
 2024-12-17 4:54:58.396	0.0166	0.0137	-1.0054	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63491	63028	5169
 2024-12-17 4:54:58.561	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63477	63030	5164
 2024-12-17 4:54:58.571	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63477	63030	5172
 2024-12-17 4:54:58.581	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63478	63031	5181
 2024-12-17 4:54:58.591	0.0166	0.0146	-1.0039	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63478	63028	5184
 2024-12-17 4:54:58.601	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63479	63024	5193
 2024-12-17 4:54:58.616	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63482	63028	5206
 2024-12-17 4:54:58.626	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63479	63030	5209
 2024-12-17 4:54:58.636	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63477	63031	5204
 2024-12-17 4:54:58.646	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63474	63034	5201
 2024-12-17 4:54:58.656	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63470	63036	5199
 2024-12-17 4:54:58.666	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63467	63036	5198
 2024-12-17 4:54:58.676	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63464	63035	5193
 2024-12-17 4:54:58.691	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.18	63464	63036	5187
 2024-12-17 4:54:58.701	0.0166	0.0142	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63465	63043	5170
 2024-12-17 4:54:58.711	0.0171	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63465	63042	5160
 2024-12-17 4:54:58.721	0.0171	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63463	63036	5159
 2024-12-17 4:54:58.731	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63463	63031	5162
 2024-12-17 4:54:58.741	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63467	63032	5178
 2024-12-17 4:54:58.756	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63464	63036	5184
 2024-12-17 4:54:58.766	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63482	63067	5140
 2024-12-17 4:54:58.776	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63472	63046	5174
 2024-12-17 4:54:58.786	0.0161	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63475	63042	5173
 2024-12-17 4:54:58.796	0.0161	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63473	63034	5176
 2024-12-17 4:54:58.806	0.0161	0.0146	-1.0054	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63469	63034	5175
 2024-12-17 4:54:58.816	0.0161	0.0146	-1.0054	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63468	63036	5164
 2024-12-17 4:54:58.986	0.0171	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63487	63037	5160
 2024-12-17 4:54:59.1	0.0171	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.1	63488	63038	5151
 2024-12-17 4:54:59.11	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.1	63488	63041	5150
 2024-12-17 4:54:59.21	0.0166	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63484	63047	5156
 2024-12-17 4:54:59.31	0.0171	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63481	63047	5160
 2024-12-17 4:54:59.41	0.0171	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63481	63044	5154
 2024-12-17 4:54:59.51	0.0171	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.17	63478	63042	5141
 2024-12-17 4:54:59.61	0.0161	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63472	63040	5134
 2024-12-17 4:54:59.76	0.0161	0.0146	-1.0044	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63472	63040	5135
 2024-12-17 4:54:59.86	0.0161	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63482	63063	5167
 2024-12-17 4:54:59.96	0.0161	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63475	63044	5144
 2024-12-17 4:54:59.106	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63474	63042	5142
 2024-12-17 4:54:59.116	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.15	63475	63040	5146
 2024-12-17 4:54:59.126	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63473	63037	5153
 2024-12-17 4:54:59.136	0.0166	0.0146	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63472	63030	5154
 2024-12-17 4:54:59.151	0.0171	0.0142	-1.0039	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63474	63024	5152
 2024-12-17 4:54:59.161	0.0171	0.0142	-1.0039	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63479	63022	5158
 2024-12-17 4:54:59.171	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.12	63476	63024	5165
 2024-12-17 4:54:59.181	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.95	-38.919	28.13	63476	63026	5170
 2024-12-17 4:54:59.191	0.0166	0.0146	-1.0039	0.0	0.0	0.0	179.16	-0.956	-38.919	28.13	63476	63025	5177
 2024-12-17 4:54:59.361	0.0166	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.956	-38.919	28.13	63460	63031	5140
 2024-12-17 4:54:59.371	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.956	-38.919	28.13	63467	63030	5136
 2024-12-17 4:54:59.381	0.0161	0.0142	-1.0049	0.0	0.0	0.0	179.16	-0.956	-38.919	28.13	63472	63034	5136
